ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-03-19,617.3360483368406,539.1094910838061,662.2879044489137,617.3360483368406,617.3360483368406,-17.952241868919167,-17.952241868919167,-17.952241868919167,-1.591550566493103,-1.591550566493103,-1.591550566493103,-16.360691302426066,-16.360691302426066,-16.360691302426066,0.0,0.0,0.0,599.3838064679214
2021-03-22,620.8485869353804,544.0254006432091,673.1743984337372,620.8485869353804,620.8485869353804,-13.909842863123014,-13.909842863123014,-13.909842863123014,0.09055894212370268,0.09055894212370268,0.09055894212370268,-14.000401805246716,-14.000401805246716,-14.000401805246716,0.0,0.0,0.0,606.9387440722574
2021-03-23,622.0194331348938,549.2581083915766,669.6239795632143,622.0194331348938,622.0194331348938,-13.331887386854087,-13.331887386854087,-13.331887386854087,-0.14411885724394424,-0.14411885724394424,-0.14411885724394424,-13.18776852961014,-13.18776852961014,-13.18776852961014,0.0,0.0,0.0,608.6875457480397
2021-03-24,623.1902793344067,546.3445560908438,673.6641096504343,623.1902793344067,623.1902793344067,-12.374946082389243,-12.374946082389243,-12.374946082389243,0.007037805281796946,0.007037805281796946,0.007037805281796946,-12.38198388767104,-12.38198388767104,-12.38198388767104,0.0,0.0,0.0,610.8153332520175
2021-03-25,624.36112553392,546.872312367117,671.5513498745604,624.36112553392,624.36112553392,-12.36918093395313,-12.36918093395313,-12.36918093395313,-0.7764225259063373,-0.7764225259063373,-0.7764225259063373,-11.592758408046793,-11.592758408046793,-11.592758408046793,0.0,0.0,0.0,611.9919445999669
2021-03-26,625.5319717334335,551.8965190697056,678.7402099551581,625.5319717334335,625.5319717334335,-12.419710143938044,-12.419710143938044,-12.419710143938044,-1.5915505664918632,-1.5915505664918632,-1.5915505664918632,-10.828159577446181,-10.828159577446181,-10.828159577446181,0.0,0.0,0.0,613.1122615894955
2021-03-29,629.0445103319732,556.9320751758877,681.1591217674302,629.0445103319732,629.0445103319732,-8.64654429791289,-8.64654429791289,-8.64654429791289,0.09055894212464895,0.09055894212464895,0.09055894212464895,-8.737103240037538,-8.737103240037538,-8.737103240037538,0.0,0.0,0.0,620.3979660340603
2021-03-30,630.2153565314861,556.3862554255063,689.5428864326013,630.2153565314861,630.2153565314861,-8.261725415429384,-8.261725415429384,-8.261725415429384,-0.14411885724285609,-0.14411885724285609,-0.14411885724285609,-8.117606558186527,-8.117606558186527,-8.117606558186527,0.0,0.0,0.0,621.9536311160567
2021-03-31,631.3862027309995,557.8091472400786,688.8999932133703,631.3862027309995,631.3862027309995,-7.530949736161715,-7.530949736161715,-7.530949736161715,0.007037805283107915,0.007037805283107915,0.007037805283107915,-7.5379875414448225,-7.5379875414448225,-7.5379875414448225,0.0,0.0,0.0,623.8552529948378
2021-04-01,632.5570489305129,559.6790870682224,682.5190168686414,632.5570489305129,632.5570489305129,-7.77336017040151,-7.77336017040151,-7.77336017040151,-0.7764225259070593,-0.7764225259070593,-0.7764225259070593,-6.99693764449445,-6.99693764449445,-6.99693764449445,0.0,0.0,0.0,624.7836887601114
2021-04-05,637.2404337285656,570.1422344671411,694.0133140545466,637.2404337285656,637.2404337285656,-5.071166116036264,-5.071166116036264,-5.071166116036264,0.09055894212082781,0.09055894212082781,0.09055894212082781,-5.161725058157092,-5.161725058157092,-5.161725058157092,0.0,0.0,0.0,632.1692676125293
2021-04-06,638.4112799280789,569.8318645469916,691.0977162925735,638.4112799280789,638.4112799280789,-4.9111314181189,-4.9111314181189,-4.9111314181189,-0.1441188572442917,-0.1441188572442917,-0.1441188572442917,-4.7670125608746075,-4.7670125608746075,-4.7670125608746075,0.0,0.0,0.0,633.50014850996
2021-04-07,639.5821261275923,573.1933629491631,705.5292408631868,639.5821261275923,639.5821261275923,-4.3835441553148495,-4.3835441553148495,-4.3835441553148495,0.007037805282255361,0.007037805282255361,0.007037805282255361,-4.390581960597105,-4.390581960597105,-4.390581960597105,0.0,0.0,0.0,635.1985819722775
2021-04-08,640.7529723271052,575.2839727305952,698.9767742061545,640.7529723271052,640.7529723271052,-4.805845901955958,-4.805845901955958,-4.805845901955958,-0.7764225259020813,-0.7764225259020813,-0.7764225259020813,-4.0294233760538765,-4.0294233760538765,-4.0294233760538765,0.0,0.0,0.0,635.9471264251492
2021-04-09,641.9238185266187,575.5029199136735,696.3527303115744,641.9238185266187,641.9238185266187,-5.2728151648375325,-5.2728151648375325,-5.2728151648375325,-1.5915505664951888,-1.5915505664951888,-1.5915505664951888,-3.681264598342344,-3.681264598342344,-3.681264598342344,0.0,0.0,0.0,636.6510033617811
2021-04-12,645.4363571251583,575.8218808485585,705.864564954804,645.4363571251583,645.4363571251583,-2.615933528690436,-2.615933528690436,-2.615933528690436,0.09055894212177423,0.09055894212177423,0.09055894212177423,-2.70649247081221,-2.70649247081221,-2.70649247081221,0.0,0.0,0.0,642.8204235964679
2021-04-13,646.6072033246718,580.2655361157679,709.0711603171322,646.6072033246718,646.6072033246718,-2.551679311419487,-2.551679311419487,-2.551679311419487,-0.14411885724603224,-0.14411885724603224,-0.14411885724603224,-2.407560454173455,-2.407560454173455,-2.407560454173455,0.0,0.0,0.0,644.0555240132524
2021-04-14,647.7780495241847,581.1298073407407,708.58076956784,647.7780495241847,647.7780495241847,-2.118859650887564,-2.118859650887564,-2.118859650887564,0.007037805281402939,0.007037805281402939,0.007037805281402939,-2.125897456168967,-2.125897456168967,-2.125897456168967,0.0,0.0,0.0,645.6591898732971
